frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
0,1.0,[2172.889892578125 1154.73291015625 2825.964111328125 1738.5228271484375],0.8923705220222473,[238.15525817871094 419.7206726074219 414.6667175292969 474.1181945800781],0.6601541638374329,HU51TSU,0.22024661654376776
1,1.0,[2172.9833984375 1154.748291015625 2825.75 1738.5830078125],0.891880214214325,[238.23388671875 419.6626892089844 414.6437072753906 474.05462646484375],0.6610035300254822,HU51TSU,0.2178450012575305
2,1.0,[2174.32421875 1157.609375 2831.032958984375 1741.7227783203125],0.8916109204292297,[233.7531280517578 419.9656066894531 412.7418212890625 475.047607421875],0.6424881219863892,HU51TSU,0.23093025565941064
3,1.0,[2176.49365234375 1160.5921630859375 2805.128173828125 1743.905029296875],0.8800625801086426,[230.9160614013672 415.7618103027344 410.1986999511719 471.29962158203125],0.6123819947242737,MU51TSU,0.11162165413296204
3,3.0,[746.0831298828125 1379.8443603515625 1441.6912841796875 1998.371826171875],0.8856475949287415,[210.2291717529297 413.2511901855469 462.1692199707031 479.40985107421875],0.3738827407360077,MA13NRU,0.23553212392906872
4,1.0,[2178.136962890625 1163.6630859375 2788.0361328125 1746.6671142578125],0.8907482028007507,[230.05963134765625 422.07476806640625 410.9842834472656 474.32562255859375],0.5888534784317017,AU51KSU,0.38354454638500607
4,3.0,[743.56591796875 1383.4998779296875 1434.1024169921875 2002.8157958984375],0.9000473022460938,[213.10977172851562 413.5225830078125 467.63323974609375 482.76971435546875],0.3222721219062805,NA13NRU,0.5615286912251227
5,1.0,[2176.378173828125 1169.263916015625 2800.021240234375 1749.779541015625],0.88569176197052,[230.00875854492188 412.9622497558594 410.8910827636719 468.5697326660156],0.665110170841217,HU51VSU,0.4135283985343013
6,1.0,[2176.15869140625 1171.8914794921875 2796.0107421875 1753.634765625],0.8898794651031494,[234.0807647705078 420.5223388671875 412.94866943359375 470.2681579589844],0.629490315914154,NT51YSU,0.1496249865697395
7,1.0,[2175.92578125 1172.1527099609375 2793.9560546875 1753.816650390625],0.8903851509094238,[235.01905822753906 420.6228332519531 414.6593322753906 470.0531921386719],0.6312547326087952,HU51KSU,0.1392689207264085
9,1.0,[2175.345703125 1177.8826904296875 2789.875732421875 1763.78125],0.8988357186317444,[237.9469451904297 421.3714294433594 415.7858581542969 472.5902404785156],0.5960808992385864,KU53YSU,0.11411351968552162
9,3.0,[730.964599609375 1395.5625 1442.7650146484375 2027.20654296875],0.8915529847145081,[217.33033752441406 422.9805908203125 468.12261962890625 486.3456726074219],0.3338654935359955,NA13NRU,0.55595474435628
10,1.0,[2174.878173828125 1180.8648681640625 2789.45263671875 1766.6556396484375],0.8945236802101135,[239.72653198242188 422.3208923339844 417.7861328125 472.36065673828125],0.5887828469276428,MU51YSU,0.6654525790802378
12,3.0,[726.3740844726562 1404.806640625 1445.1993408203125 2042.3951416015625],0.9012212753295898,[215.85133361816406 427.7249755859375 468.4321594238281 492.0792236328125],0.3700903356075287,NA13NRU,0.7390481918796494
13,1.0,[2176.382568359375 1187.7421875 2797.171630859375 1775.177490234375],0.8956677913665771,[234.054931640625 416.7717590332031 415.7489013671875 470.64892578125],0.6229226589202881,AU51YSU,0.3943297152592459
13,3.0,[726.2562255859375 1405.3896484375 1446.8702392578125 2044.3807373046875],0.9004013538360596,[236.47862243652344 428.7439270019531 438.8887939453125 488.0257568359375],0.32563698291778564,NA13NRU,0.3501505084513161
14,3.0,[722.75537109375 1407.9962158203125 1439.6016845703125 2050.203369140625],0.8909167051315308,[221.8361053466797 430.8646240234375 469.84417724609375 493.8053283691406],0.3866480886936188,NA13NRU,0.4840335927736717
15,1.0,[2175.716796875 1191.7535400390625 2798.858642578125 1781.3255615234375],0.890169620513916,[236.22573852539062 421.3148498535156 417.8450012207031 473.5790710449219],0.6095331311225891,ML51VSU,0.1399318667550612
15,3.0,[719.8394165039062 1413.4276123046875 1433.025390625 2055.31982421875],0.899020254611969,[219.77859497070312 428.845947265625 473.3861083984375 491.4687194824219],0.26937299966812134,NA13MRU,0.2114406163972128
16,3.0,[718.1748046875 1419.107421875 1427.041259765625 2059.575439453125],0.898467481136322,[222.95692443847656 425.4249572753906 474.8800354003906 488.31793212890625],0.3220386505126953,NA13NRU,0.42545749036472685
17,3.0,[716.961669921875 1420.6334228515625 1421.274169921875 2061.52392578125],0.8947428464889526,[218.62379455566406 432.5401306152344 475.6971740722656 495.77972412109375],0.3487730324268341,NA13NRU,0.26179157485513
